COMPANY,WEBSITE,ABOUT,CITY,STATE
Kong,https://konghq.com,Open-source microservices management platform,San Francisco,
LaunchDarkly        ,https://launchdarkly.com,Feature management platform,Oakland,CA
LendingHome,https://lendinghome.com,Mortgage lender,San Francisco,CA
Lyra Health,https://lyrahealth.com,Digital mental health platform,Burlingame,CA
MarkForged,https://markforged.com,3D printing platform,Watertown,MA
Mattermost,https://mattermost.com,Enterprise-grade messaging solutions,Palo Alto,CA
Minted,https://minted.com,Graphic design crowdsourcing,San Francisco,CA
Miro,https://miro.com,Online collaborative whiteboard platform,San Francisco,CA
Modsy,https://modsy.com,Home design guidance and plans,San Francisco,CA
Moveworks,https://moveworks.com,AI to help resolve help desk tickets,Mountain View,CA
mParticle ,https://mparticle.com,Customer data platform for multi channel consumer brands,New York,NY
N3twork,https://n3twork.com,Mobile games creator and publisher,San Francisco,CA
Narvar,https://narvar.com,Customer experience platform for retailers,San Mateo,CA
Newsela,https://newsela.com,Education software,New York,NY
Next Insurance,https://nextinsurance.com,Insurance for entrepreneurs/small businesses,Palo Alto,CA
Nextdoor,https://nextdoor.com,Neighborhood-based social network,San Francisco,CA
nference,https://nference.ai,Knowledge synthesis from biomedical databases,Cambridge,MA
Notion,https://notion.so,Document collaboration,San Francisco,CA
OfferUp,https://offerup.com,C2C commerce platform,Bellevue,WA
Olive,https://oliveai.com,Intelligent healthcare RPA,Columbus,OH
OneSource Virtual,https://onesourcevirtual.com,Workday services,Dallas,TX
OneTrust,https://onetrust.com,Privacy management,Atlanta,GA
Outreach,https://outreach.io,Sales engagement platform,Seattle,WA
Owl Labs,https://owllabs.com,Hardware and software systems for video conferencing,Somerville,MA
Pendo,https://pendo.io,Platform that helps teams deliver software users love,Raleigh,NC
Perceptyx,https://perceptyx.com,Customer feedback tools,Temecula,CA
Podium,https://podium.com,Customer communication platform,Lehi,UT
Pond5,https://pond5.com,Hub to buy and sell media,New York,NY
Postman,https://postman.com,Collaboration platform for API development,San Francisco,CA
Prodege,https://prodege.com,Rewards programs,El Segundo,CA
Qualia,https://qualia.com,Digital real estate closing platform,San Francisco,CA
Qumulo,https://qumulo.com,Storage,Seattle,WA
Quora,https://quora.com,Q&A platform,Mountain View,CA
Redis Labs,https://redislabs.com,In-memory database platform for applications,Mountain View,CA
Rent the Runway,https://renttherunway.com,Designer dress and accessory rentals,New York,NY
ReTool,https://retool.com,Fast way of building internal applications,San Francisco,CA
Salsify,https://salsify.com,Product experience management,Boston,MA
Scale AI,https://scale.com,Annotation of training data for AI,San Francisco,CA
SentinelOne,https://sentinelone.com,Autonomous endpoint protection,Mountain View,CA
Sentry,https://sentry.io,Open-source platform for workflow productivity,San Francisco,CA
ServiceChannel ,https://servicechannel.com,"Platform to procure, manage and pay for facility maintenance services",Pleasanton,CA
ServiceTitan,https://servicetitan.com,Software for the home service industries,Glendale,CA
Shippo,https://goshippo.com,Shipping API provider,San Francisco,CA
Side,https://sideinc.com,Real estate brokerage services,San Francisco,CA
Skydio,https://skydio.com,Drones,Redwood City,CA
Sonder,https://sonder.com,A new way to stay in your favorite neighborhoods around the world,San Francisco,CA
SpotOn,https://spoton.com,Software and payment processing for merchants,San Francisco,CA
Sprinklr,https://sprinklr.com,Customer experience management software,New York,NY
Stash,https://stash.com,Digital investing and banking,New York,NY
Stedi,https://stedi.com,EDI platform to automate any B2B transaction,Denver,CO
Stord,https://stord.com,Supply chain in the cloud,Atlanta,GA
Strava,https://strava.com,Global community of athletes,San Francisco,CA
StreamSets,https://streamsets.com,DataOps platform for modern data integration,San Francisco,CA
Synack,https://synack.com,Scalable continuous testing for enterprise applications and networks,Redwood City,CA
Sysdig,https://sysdig.com,DevOps security,San Francisco,CA
Talkdesk,https://talkdesk.com,Contact center software,San Francisco,CA
Tally,https://meettally.com,Automated credit card payoff app,San Francisco,CA
Tastemade,https://tastemade.com,Online food-oriented destination,Santa Monica,CA
Tastyworks,https://tastyworks.com,Stock trading platform,Chicago,IL
Tekion,https://tekion.com,ERP platform for autodealers,San Ramon,CA
The Zebra,https://thezebra.com,Auto insurance comparison marketplace,Austin,TX
ThoughtSpot,https://thoughtspot.com ,Relational search engine designed for data analytics,Sunnyvale,CA
Turo,https://turo.com,Car sharing rental marketplace,San Francisco,CA
Udacity,https://udacity.com,Skills development platform,Mountain View,CA
Ujet,https://ujet.co,Cloud contact center solutions,San Francisco,CA
Unqork,https://unqork.com,No-code enterprise application platform,New York,NY
Upgrade,https://upgrade.com,Consumer credit platform,San Francisco,CA
Varsity Tutors,https://varsitytutors.com,Platform that connects students with personalized instruction ,St. Louis,MO
Vectra,https://vectra.ai,Network threat detection and response,San Jose,CA
Venafi,https://venafi.com,Automates security for keys and certificates,Salt Lake City,UT
Verkada,https://verkada.com,Software-enabled enterprise security camera systems,San Mateo,CA
VSCO,https://vsco.co,Photography apps & tools,Oakland,CA
Wealthfront,https://wealthfront.com,Nextgen banking service,Palo Alto,CA
Webflow,https://webflow.com,Design and hosting platform,San Francisco,CA
Weee!,https://sayweee.com,Asian grocery delivery platform,Fremont,CA
WHOOP,https://whoop.com,Performance optimization system that helps athlete boost performance,Boston,MA
WordPress,https://wordpress.com,Open-source CMS & blog software,San Francisco,CA
WorkBoard,https://workboard.com ,OKR software,Redwood City,CA
Workrise,https://www.workrise.com/,Marketplace for on-demand services and skilled labor in the energy industry,Austin,TX
XANT,https://xant.ai,Sales acceleration platform ,Lehi,UT
YapStone,https://yapstone.com,Electronic payments for online marketplaces,Walnut Creek,CA
Yumi,https://helloyumi.com,D2C baby food service,Los Angeles,CA
Zapier,https://zapier.com,Low-code tools,San Francisco,CA
Zenoti,https://zenoti.com,Salon & spa software,Bellevue,WA
Zest AI,https://zest.ai,Machine learning and AI tools for financial institutions,Burbank,CA
